id;modalidad_permiso;created_at;updated_at
3477;radioaficionado;2016-02-12 20:04:21.607;2016-02-12 20:04:21.607
3478;radioaficionado;2016-02-12 20:06:04.703;2016-02-12 20:06:04.703
3479;radioaficionado;2016-02-12 20:06:55.750;2016-02-12 20:06:55.750
3480;radioaficionado;2016-02-12 20:07:41.920;2016-02-12 20:07:41.920
3481;radioaficionado;2016-02-12 20:11:43.123;2016-02-12 20:11:43.123
3482;radioaficionado;2016-02-12 20:13:47.327;2016-02-12 20:13:47.327
3483;banda_ciudadana;2016-02-12 20:18:04.483;2016-02-12 20:18:04.483
3484;radioaficionado;2016-02-12 20:21:42.997;2016-02-12 20:21:42.997
3485;radioaficionado;2016-02-12 20:22:56.983;2016-02-12 20:22:56.983
3486;radioaficionado;2016-02-12 20:24:22.467;2016-02-12 20:24:22.467
3487;radioaficionado;2016-02-12 20:27:55.343;2016-02-12 20:27:55.343
3489;radioaficionado;2016-02-12 20:29:21.000;2016-02-12 20:29:21.000
3490;radioaficionado;2016-02-12 20:29:40.767;2016-02-12 20:29:40.767
3491;radioaficionado;2016-02-12 20:30:14.767;2016-02-12 20:30:14.767
3492;radioaficionado;2016-02-12 20:31:11.703;2016-02-12 20:31:11.703
3493;radioaficionado;2016-02-12 20:31:27.797;2016-02-12 20:31:27.797
3501;radioaficionado;2016-02-12 20:42:53.767;2016-02-12 20:42:53.767
3503;radioaficionado;2016-02-12 20:45:11.987;2016-02-12 20:45:11.987
3504;radioaficionado;2016-02-12 20:56:00.377;2016-02-12 20:56:00.377
3505;radioaficionado;2016-02-12 20:58:18.533;2016-02-12 20:58:18.533
3507;otros;2016-02-12 21:01:35.470;2016-02-12 21:01:35.470
3508;radioaficionado;2016-02-12 21:03:36.847;2016-02-12 21:03:36.847
3509;radioaficionado;2016-02-12 21:07:12.567;2016-02-12 21:07:12.567
3511;radioaficionado;2016-02-12 21:15:52.633;2016-02-12 21:15:52.633
3512;radioaficionado;2016-02-12 21:17:59.870;2016-02-12 21:17:59.870
3513;radioaficionado;2016-02-12 21:19:57.887;2016-02-12 21:19:57.887
3514;radioaficionado;2016-02-12 21:21:35.760;2016-02-12 21:21:35.760
3516;radioaficionado;2016-02-12 21:30:39.217;2016-02-12 21:30:39.217
3517;radioaficionado;2016-02-15 14:25:30.737;2016-02-15 14:25:30.737
3518;radioaficionado;2016-02-15 14:27:00.347;2016-02-15 14:27:00.347
3519;radioaficionado;2016-02-15 14:27:53.207;2016-02-15 14:27:53.207
3520;radioaficionado;2016-02-15 14:28:43.847;2016-02-15 14:28:43.847
3521;radioaficionado;2016-02-15 14:40:13.787;2016-02-15 14:40:13.787
3523;otros;2016-02-15 16:19:53.203;2016-02-15 16:19:53.203
3525;radiocomunicacion_banda_angosta;2016-02-15 16:33:40.407;2016-02-15 16:33:40.407
3526;radiocomunicacion_banda_angosta;2016-02-15 17:06:38.147;2016-02-15 17:06:38.147
3527;radiocomunicacion_banda_angosta;2016-02-15 17:14:09.070;2016-02-15 17:14:09.070
3528;radiocomunicacion_banda_angosta;2016-02-15 17:23:16.383;2016-02-15 17:23:16.383
3529;radioaficionado;2016-02-15 17:23:43.053;2016-02-15 17:23:43.053
3530;radiocomunicacion_banda_angosta;2016-02-15 17:30:59.307;2016-02-15 17:30:59.307
3531;radiocomunicacion_banda_angosta;2016-02-15 17:35:54.447;2016-02-15 17:35:54.447
3534;radiocomunicacion_banda_angosta;2016-02-15 17:42:57.587;2016-02-15 17:42:57.587
3535;radioaficionado;2016-02-15 17:44:08.947;2016-02-15 17:44:08.947
3536;radioaficionado;2016-02-15 17:47:08.120;2016-02-15 17:47:08.120
3537;radiocomunicacion_banda_angosta;2016-02-15 17:51:53.807;2016-02-15 17:51:53.807
3538;radiocomunicacion_banda_angosta;2016-02-15 18:02:32.590;2016-02-15 18:02:32.590
3539;radiocomunicacion_banda_angosta;2016-02-15 19:18:54.897;2016-02-15 19:18:54.897
3540;radiocomunicacion_banda_angosta;2016-02-15 19:21:18.647;2016-02-15 19:21:18.647
