id;precio_interconexion;created_at;updated_at;acuerdo_acceso_interconexions_id;sci_servicios_id;servicio
211;855.00;2016-02-10 21:18:03.097;2016-02-10 21:18:03.097;40;18;Circuito eléctrico 30 AMP 120 VAC Cargo recurrente mensual ( Precio en dólares moneda de Estados Unidos de América)
212;2600.00;2016-02-10 21:18:03.097;2016-02-10 21:18:03.097;40;18;Precios por el acceso de fibra óptica: Fibra óptica ( 2 hilos entrada oeste) Cuota de instalación Precio en dólares moneda de Estados Unidos de América
213;266.00;2016-02-10 21:18:03.097;2016-02-10 21:18:03.097;40;18;Precios por el acceso de fibra óptica: Fibra óptica ( 2 hilos entrada oeste)  Cargo recurrente mensual Precio en dólares moneda de Estados Unidos de América
214;2600.00;2016-02-10 21:18:03.097;2016-02-10 21:18:03.097;40;18;Precios por el acceso de fibra óptica: Fibra óptica ( 2 hilos entrada norte)  Cuota de instalación Precio en dólares moneda de Estados Unidos de América
215;251.00;2016-02-10 21:18:03.097;2016-02-10 21:18:03.097;40;18;Precios por el acceso de fibra óptica: Fibra óptica ( 2 hilos entrada norte) Cargo recurrente mensual Precio en dólares moneda de Estados Unidos de América
217;4.00;2016-02-10 21:51:07.317;2016-02-10 21:51:07.317;42;18;USO DE RED FIJA PARA TERMINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES 3.63
218;18.00;2016-02-10 21:51:07.317;2016-02-10 21:51:07.317;42;18;USO DE RED MOVIL PARA TERMINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES 17.95
219;4.00;2016-02-10 21:51:07.317;2016-02-10 21:51:07.317;42;18;USO DE RED FIJA PARA ORIGINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES 3.63
220;18.00;2016-02-10 21:51:07.317;2016-02-10 21:51:07.317;42;18;USO DE RED MOVIL PARA ORIGINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES 17.95
221;6.00;2016-02-10 21:51:07.317;2016-02-10 21:51:07.317;42;18;USO DE RED FIJA PARA TRANSITO NACIONAL, PRECIO POR MINUTO EN COLONES 5.77
222;15.00;2016-02-10 21:51:07.317;2016-02-10 21:51:07.317;42;18;USO DE PLATAFORMA DE TELEFONIA PUBLICA, PRECIO POR MINUTO EN COLONES 15.30
223;2.00;2016-02-10 21:51:07.330;2016-02-10 21:51:07.330;42;18;USO DE LA RED DE INTERPHONE PARA TERMINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES 2.00
224;42.00;2016-02-10 21:51:07.330;2016-02-10 21:51:07.330;42;18;PATCH CORD DESDE INTERPHONE HASTA EL DDF EN EL MMR, CUOTA DE INSTALACION PRECIO EN DOLARES, 502. CARGO RECURRENTE MENSUAL POR E1, PRECIO EN DOLARES, 42.
225;0.00;2016-02-10 21:51:07.330;2016-02-10 21:51:07.330;42;18;CONFIGURACION DEL PUERTO DE CONMUTACION POR POI, CUOTA DE INSTALACION, PRECIO EN DOLARES, 5.400. CARGO RECURRENTE MENSUAL POR E1, PRECIO EN DOLARES, 0.
226;NULL;2016-02-10 21:53:31.517;2016-02-10 21:53:31.517;43;18;
237;0.00;2016-02-11 15:02:15.547;2016-02-11 15:02:15.547;47;18;La conexión a la cabecera es provista de forma gratuita
238;4.00;2016-02-11 15:09:36.423;2016-02-11 15:09:36.423;48;18;USO DE RED FIJA PARA TERMINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES, 3.63.
239;18.00;2016-02-11 15:09:36.423;2016-02-11 15:09:36.423;48;18;USO DE RED MOVIL PARA TERMINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES, 17.95.
240;4.00;2016-02-11 15:09:36.423;2016-02-11 15:09:36.423;48;18;USO DE RED FIJA PARA ORIGINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES, 3.63.
241;18.00;2016-02-11 15:09:36.423;2016-02-11 15:09:36.423;48;18;USO DE RED MOVIL PARA ORIGINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES, 17.95.
242;6.00;2016-02-11 15:09:36.423;2016-02-11 15:09:36.423;48;18;USO DE RED FIJA PARA TRANSITO NACIONAL, PRECIO POR MINUTO EN COLONES, 5.77.
243;15.00;2016-02-11 15:09:36.440;2016-02-11 15:09:36.440;48;18;USO DE PLATAFORMA DE TELEFONIA PUBLICA, PRECIO POR MINUTO EN COLONES, 15.30.
244;3.00;2016-02-11 15:09:36.440;2016-02-11 15:09:36.440;48;18;USO DE LA RED DE E-DIAY PARA TERMINACION DE TRAFICO, PRECIO POR MINUTO EN COLONES, 2.59.
