id;numero_publicacion_gaceta;fecha_publicacion_gaceta;tipo_red;created_at;updated_at;fecha_vencimiento
436;201;2009-10-16;privada;2015-12-23 16:33:41.310;2015-12-23 16:33:41.310;2019-09-21
437;201;2009-10-16;privada;2015-12-23 16:39:01.907;2015-12-23 16:39:01.907;2019-09-18
438;201;2009-10-16;privada;2015-12-23 16:39:31.827;2015-12-23 16:39:31.827;2019-09-21
439;207;2009-10-26;privada;2015-12-23 16:40:11.703;2015-12-23 16:40:11.703;2019-10-13
440;207;2009-10-26;privada;2015-12-23 16:41:06.327;2015-12-23 16:41:06.327;2019-10-05
441;207;2009-10-26;privada;2015-12-23 17:16:44.237;2015-12-23 17:16:44.237;2019-10-05
442;207;2009-10-26;privada;2015-12-23 17:17:23.567;2015-12-23 17:17:23.567;2019-10-02
443;207;2009-10-26;privada;2015-12-23 17:17:54.457;2015-12-23 17:17:54.457;2019-10-05
444;137;2011-07-15;privada;2015-12-23 17:18:29.877;2015-12-23 17:18:29.877;2021-07-14
445;157;2009-08-13;privada;2015-12-23 17:21:07.050;2015-12-23 17:21:07.050;2019-08-03
446;234;2010-12-02;privada;2015-12-23 17:21:24.487;2015-12-23 17:21:24.487;2020-10-26
448;86;2010-05-05;privada;2015-12-23 17:22:37.753;2015-12-23 17:22:37.753;2020-05-25
449;157;2009-08-13;publica;2015-12-23 17:24:57.567;2015-12-23 17:24:57.567;2019-08-03
451;125;2010-06-29;privada;2015-12-23 17:26:00.817;2015-12-23 17:26:00.817;2020-06-03
452;64;2013-04-03;publica;2015-12-23 17:26:58.613;2015-12-23 17:26:58.613;2023-03-14
453;163;2014-08-25;publica;2015-12-23 17:29:13.333;2015-12-23 17:29:13.333;2024-07-23
454;123;2014-06-27;publica;2015-12-23 17:30:31.397;2015-12-23 17:30:31.397;2024-06-17
455;40;2010-02-26;publica;2015-12-23 17:30:45.567;2015-12-23 17:30:45.567;2020-02-08
456;156;2013-08-16;publica;2015-12-23 17:35:50.520;2015-12-23 17:35:50.520;2023-08-08
457;130;2009-07-07;publica;2015-12-23 17:36:08.693;2015-12-23 17:36:08.693;2019-06-25
458;74;2010-04-17;publica;2015-12-23 17:39:05.507;2015-12-23 17:39:05.507;2020-04-06
460;25;2010-02-05;publica;2015-12-23 17:43:28.367;2015-12-23 17:43:28.367;2019-12-03
461;142;2014-07-24;publica;2015-12-23 17:43:51.587;2015-12-23 17:43:51.587;2024-07-17
463;236;2009-12-04;publica;2015-12-23 17:44:58.507;2015-12-23 17:44:58.507;2020-02-03
465;134;2009-07-13;publica;2015-12-23 17:46:48.820;2015-12-23 17:46:48.820;2019-07-01
466;121;2015-06-24;publica;2015-12-23 18:44:28.890;2015-12-23 18:44:28.890;2025-06-11
467;25;2010-02-05;publica;2015-12-23 18:45:08.247;2015-12-23 18:45:08.247;2019-12-03
469;7;2010-01-12;publica;2015-12-23 18:53:46.983;2015-12-23 18:53:46.983;2020-01-07
471;137;2011-07-15;publica;2015-12-23 18:58:30.297;2015-12-23 18:58:30.297;2021-07-12
472;180;2009-09-16;privada;2015-12-23 18:58:50.437;2015-12-23 18:58:50.437;2019-09-16
473;171;2009-09-02;publica;2015-12-23 18:59:13.907;2015-12-23 18:59:13.907;2019-08-19
475;134;2009-07-13;publica;2015-12-23 19:01:52.813;2015-12-23 19:01:52.813;2019-07-01
476;248;2012-12-24;publica;2015-12-23 19:02:04.657;2015-12-23 19:02:04.657;2022-12-06
477;207;2009-10-26;privada;2015-12-23 19:02:19.313;2015-12-23 19:02:19.313;2019-10-02
478;179;2015-09-14;publica;2015-12-23 19:07:53.220;2015-12-23 19:07:53.220;2025-09-03
479;246;2014-12-22;publica;2015-12-23 19:08:51.813;2015-12-23 19:08:51.813;2024-11-28
481;231;2012-11-29;publica;2015-12-23 19:11:58.940;2015-12-23 19:11:58.940;2022-10-11
483;40;2010-02-26;publica;2015-12-23 19:13:51.703;2015-12-23 19:13:51.703;2020-02-08
488;171;2009-09-02;publica;2015-12-23 19:17:54.143;2015-12-23 19:17:54.143;2019-08-18
489;125;2010-06-29;publica;2015-12-23 19:18:06.393;2015-12-23 19:18:06.393;2020-06-09
492;159;2010-08-17;publica;2015-12-23 19:46:14.177;2015-12-23 19:46:14.177;2020-07-15
494;210;2011-11-02;publica;2015-12-23 19:46:49.270;2015-12-23 19:46:49.270;2021-10-20
495;157;2009-08-13;publica;2015-12-23 19:50:42.317;2015-12-23 19:50:42.317;2019-08-05
