id;rango_numeracion;numero_asignado;tipo_recurso_numerico;nota;created_at;updated_at
1153;NULL;NULL;NULL;NULL;2016-01-29 14:50:41.083;2016-01-29 14:50:41.083
1155;NULL;NULL;NULL;NULL;2016-01-29 14:57:15.990;2016-01-29 14:57:15.990
1156;NULL;NULL;NULL;NULL;2016-01-29 15:08:46.430;2016-01-29 15:08:46.430
1157;NULL;NULL;NULL;NULL;2016-01-29 15:34:27.713;2016-01-29 15:34:27.713
1158;NULL;NULL;NULL;NULL;2016-01-29 15:35:58.497;2016-01-29 15:35:58.497
1161;NULL;NULL;NULL;NULL;2016-01-29 15:50:22.733;2016-01-29 15:50:22.733
1162;NULL;NULL;NULL;NULL;2016-01-29 15:51:37.373;2016-01-29 15:51:37.373
1163;NULL;NULL;NULL;NULL;2016-01-29 15:53:39.700;2016-01-29 15:53:39.700
1164;NULL;NULL;NULL;NULL;2016-01-29 15:59:31.343;2016-01-29 15:59:31.343
1167;NULL;NULL;NULL;NULL;2016-01-29 16:29:43.957;2016-01-29 16:29:43.957
1168;NULL;NULL;NULL;NULL;2016-01-29 16:41:00.160;2016-01-29 16:41:00.160
1169;NULL;NULL;NULL;NULL;2016-01-29 16:45:47.847;2016-01-29 16:45:47.847
1170;NULL;NULL;NULL;NULL;2016-01-29 16:52:54.613;2016-01-29 16:52:54.613
1172;NULL;NULL;NULL;NULL;2016-01-29 17:05:39.897;2016-01-29 17:05:39.897
1173;NULL;NULL;NULL;NULL;2016-01-29 17:10:21.460;2016-01-29 17:10:21.460
1174;NULL;NULL;NULL;NULL;2016-01-29 17:18:13.773;2016-01-29 17:18:13.773
1175;NULL;NULL;NULL;NULL;2016-01-29 17:22:11.057;2016-01-29 17:22:11.057
1182;NULL;NULL;NULL;NULL;2016-01-29 17:58:58.277;2016-01-29 17:58:58.277
1183;NULL;NULL;NULL;NULL;2016-01-29 18:10:27.140;2016-01-29 18:10:27.140
1188;NULL;NULL;NULL;NULL;2016-01-29 19:54:58.260;2016-01-29 19:54:58.260
1191;NULL;NULL;NULL;NULL;2016-01-29 20:10:11.933;2016-01-29 20:10:11.933
1193;NULL;NULL;NULL;NULL;2016-01-29 20:11:00.513;2016-01-29 20:11:00.513
1195;NULL;NULL;NULL;NULL;2016-01-29 20:20:08.280;2016-01-29 20:20:08.280
1196;NULL;NULL;NULL;NULL;2016-01-29 20:24:36.497;2016-01-29 20:24:36.497
1197;NULL;NULL;NULL;NULL;2016-01-29 20:24:57.623;2016-01-29 20:24:57.623
1198;NULL;NULL;NULL;NULL;2016-01-29 20:29:59.560;2016-01-29 20:29:59.560
1199;NULL;NULL;NULL;NULL;2016-01-29 20:35:17.703;2016-01-29 20:35:17.703
1200;NULL;NULL;NULL;NULL;2016-01-29 20:39:26.313;2016-01-29 20:39:26.313
1201;NULL;NULL;NULL;NULL;2016-01-29 20:39:56.797;2016-01-29 20:39:56.797
1203;NULL;NULL;NULL;NULL;2016-01-29 20:50:01.533;2016-01-29 20:50:01.533
1204;NULL;NULL;NULL;NULL;2016-01-29 20:50:51.220;2016-01-29 20:50:51.220
1206;NULL;NULL;NULL;NULL;2016-01-29 20:53:00.847;2016-01-29 20:53:00.847
1207;NULL;NULL;NULL;NULL;2016-01-29 20:54:44.643;2016-01-29 20:54:44.643
1209;NULL;NULL;NULL;NULL;2016-01-29 20:58:50.597;2016-01-29 20:58:50.597
1213;NULL;NULL;NULL;NULL;2016-01-29 21:26:09.163;2016-01-29 21:26:09.163
1214;NULL;NULL;NULL;NULL;2016-01-29 21:38:03.070;2016-01-29 21:38:03.070
1215;NULL;NULL;NULL;NULL;2016-01-29 21:47:37.837;2016-01-29 21:47:37.837
1216;NULL;NULL;NULL;NULL;2016-02-01 14:05:46.850;2016-02-01 14:05:46.850
1217;NULL;NULL;NULL;NULL;2016-02-01 14:12:02.057;2016-02-01 14:12:02.057
1221;NULL;NULL;NULL;NULL;2016-02-01 15:51:49.957;2016-02-01 15:51:49.957
1239;NULL;NULL;NULL;NULL;2016-02-01 16:13:22.897;2016-02-01 16:13:22.897
1241;NULL;NULL;NULL;NULL;2016-02-01 16:17:46.100;2016-02-01 16:17:46.100
1243;NULL;NULL;NULL;NULL;2016-02-01 16:54:57.683;2016-02-01 16:54:57.683
1244;NULL;NULL;NULL;NULL;2016-02-01 17:01:36.840;2016-02-01 17:01:36.840
1247;NULL;NULL;NULL;NULL;2016-02-01 17:25:48.077;2016-02-01 17:25:48.077
1249;NULL;NULL;NULL;NULL;2016-02-01 17:35:21.767;2016-02-01 17:35:21.767
1250;NULL;NULL;NULL;NULL;2016-02-01 17:42:53.157;2016-02-01 17:42:53.157
1251;NULL;NULL;NULL;NULL;2016-02-01 17:45:48.190;2016-02-01 17:45:48.190
1252;NULL;NULL;NULL;NULL;2016-02-01 17:47:59.157;2016-02-01 17:47:59.157
1253;NULL;NULL;NULL;NULL;2016-02-01 17:48:32.377;2016-02-01 17:48:32.377
1254;NULL;NULL;NULL;NULL;2016-02-01 17:48:52.753;2016-02-01 17:48:52.753
1255;NULL;NULL;NULL;NULL;2016-02-01 17:52:08.753;2016-02-01 17:52:08.753
1256;NULL;NULL;NULL;NULL;2016-02-01 17:52:26.267;2016-02-01 17:52:26.267
1257;NULL;NULL;NULL;NULL;2016-02-01 18:00:38.113;2016-02-01 18:00:38.113
1258;NULL;NULL;NULL;NULL;2016-02-01 18:01:38.690;2016-02-01 18:01:38.690
1259;NULL;NULL;NULL;NULL;2016-02-01 18:02:04.707;2016-02-01 18:02:04.707
1260;NULL;NULL;NULL;NULL;2016-02-01 19:18:31.887;2016-02-01 19:18:31.887
1262;NULL;NULL;NULL;NULL;2016-02-01 19:31:14.407;2016-02-01 19:31:14.407
1264;NULL;NULL;NULL;NULL;2016-02-01 19:33:47.890;2016-02-01 19:33:47.890
1266;NULL;NULL;NULL;NULL;2016-02-01 19:38:44.203;2016-02-01 19:38:44.203
1267;NULL;NULL;NULL;NULL;2016-02-01 19:42:48.017;2016-02-01 19:42:48.017
1268;NULL;NULL;NULL;NULL;2016-02-01 19:45:14.267;2016-02-01 19:45:14.267
1269;NULL;NULL;NULL;NULL;2016-02-01 19:45:51.720;2016-02-01 19:45:51.720
1271;NULL;NULL;NULL;NULL;2016-02-01 19:50:18.470;2016-02-01 19:50:18.470
1272;NULL;NULL;NULL;NULL;2016-02-01 19:52:49.703;2016-02-01 19:52:49.703
1273;NULL;NULL;NULL;NULL;2016-02-01 19:53:58.253;2016-02-01 19:53:58.253
1274;NULL;NULL;NULL;NULL;2016-02-01 19:59:14.940;2016-02-01 19:59:14.940
1275;NULL;NULL;NULL;NULL;2016-02-01 20:01:13.970;2016-02-01 20:01:13.970
1276;NULL;NULL;NULL;NULL;2016-02-01 20:07:27.893;2016-02-01 20:07:27.893
1277;NULL;NULL;NULL;NULL;2016-02-01 20:09:34.910;2016-02-01 20:09:34.910
1278;NULL;NULL;NULL;NULL;2016-02-01 20:13:06.863;2016-02-01 20:13:06.863
1279;NULL;NULL;NULL;NULL;2016-02-01 20:18:50.583;2016-02-01 20:18:50.583
1280;NULL;NULL;NULL;NULL;2016-02-01 20:21:54.380;2016-02-01 20:21:54.380
1282;NULL;NULL;NULL;NULL;2016-02-01 20:26:58.897;2016-02-01 20:26:58.897
1283;NULL;NULL;NULL;NULL;2016-02-01 20:29:56.037;2016-02-01 20:29:56.037
1285;NULL;NULL;NULL;NULL;2016-02-01 20:36:16.537;2016-02-01 20:36:16.537
1286;NULL;NULL;NULL;NULL;2016-02-01 20:41:32.537;2016-02-01 20:41:32.537
1287;NULL;NULL;NULL;NULL;2016-02-01 20:43:45.913;2016-02-01 20:43:45.913
1290;NULL;NULL;NULL;NULL;2016-02-01 21:04:42.137;2016-02-01 21:04:42.137
1293;NULL;NULL;NULL;NULL;2016-02-01 21:25:07.357;2016-02-01 21:25:07.357
1297;NULL;NULL;NULL;NULL;2016-02-01 21:47:45.953;2016-02-01 21:47:45.953
