id;sciservicio_id;titulo_habilitante_id;created_at;updated_at;nota;servicio
455;NULL;257;2015-11-17 14:48:02.757;2015-11-17 14:48:02.757;NULL;Acceso a internet
456;29;257;2015-11-17 14:48:02.787;2015-11-17 14:48:02.787;NULL;
457;NULL;257;2015-11-17 14:48:02.787;2015-11-17 14:48:02.787;NULL;Enlaces punto a punto
458;NULL;257;2015-11-17 14:48:02.787;2015-11-17 14:48:02.787;NULL;Enlaces multipunto
460;3;259;2015-11-17 15:34:14.103;2015-11-17 15:34:14.103;NULL;Transferencia de datos a nivel local e internacional
461;NULL;259;2015-11-17 15:34:14.103;2015-11-17 15:34:14.103;NULL;Acceso a Internet
462;33;259;2015-11-17 15:34:14.103;2015-11-17 15:34:14.103;NULL;
465;18;261;2015-11-17 15:57:00.063;2015-11-17 15:57:00.063;NULL;Carrier de Telefonía IP
466;18;261;2015-11-17 15:57:00.063;2015-11-17 15:57:00.063;NULL;Operador Prepago Móvil
467;NULL;262;2015-11-17 15:59:47.143;2015-11-17 15:59:47.143;NULL;Television por cable
468;NULL;262;2015-11-17 15:59:47.143;2015-11-17 15:59:47.143;NULL;Acceso a internet
469;33;262;2015-11-17 15:59:47.157;2015-11-17 15:59:47.157;NULL;
470;29;262;2015-11-17 15:59:47.157;2015-11-17 15:59:47.157;NULL;
471;NULL;263;2015-11-17 16:12:44.617;2015-11-17 16:12:44.617;NULL;Television por cable
472;NULL;263;2015-11-17 16:12:44.633;2015-11-17 16:12:44.633;NULL;Acceso a internet
473;3;263;2015-11-17 16:12:44.633;2015-11-17 16:12:44.633;NULL;
474;18;263;2015-11-17 16:12:44.633;2015-11-17 16:12:44.633;NULL;
475;NULL;264;2015-11-17 16:31:27.773;2015-11-17 16:31:27.773;NULL;
476;NULL;265;2015-11-17 16:37:10.323;2015-11-17 16:37:10.323;NULL;
477;NULL;266;2015-11-17 16:46:34.957;2015-11-17 16:46:34.957;NULL;
478;18;267;2015-11-17 16:57:35.567;2015-11-17 16:57:35.567;NULL;Acarreador de telefonía IP Prepago
479;33;267;2015-11-17 16:57:35.567;2015-11-17 16:57:35.567;NULL;
480;3;268;2015-11-17 16:57:57.007;2015-11-17 16:57:57.007;NULL;Trasferencia de datos en la modalidad de acceso a internet por medio de fibra optica, mediante tecnologia FTTH.
481;7;269;2015-11-17 17:08:07.377;2015-11-17 17:08:07.377;NULL;
482;NULL;269;2015-11-17 17:08:07.377;2015-11-17 17:08:07.377;NULL;Acceso a Internet
483;3;270;2015-11-17 17:14:02.307;2015-11-17 17:14:02.307;NULL;Trasferencia de datos en la modalidad de acceso a internet por medio de fibra optica, mediante tecnologia FTTH.
484;30;270;2015-11-17 17:14:02.323;2015-11-17 17:14:02.323;NULL;Bajo la modalidad de IPTV
485;18;271;2015-11-17 17:14:24.323;2015-11-17 17:14:24.323;NULL;Acceso a Internet
486;29;271;2015-11-17 17:14:24.323;2015-11-17 17:14:24.323;NULL;
487;NULL;272;2015-11-17 17:24:08.037;2015-11-17 17:24:08.037;NULL;Televisión por cable
488;NULL;272;2015-11-17 17:24:08.037;2015-11-17 17:24:08.037;NULL;Acceso a Internet
489;33;272;2015-11-17 17:24:08.037;2015-11-17 17:24:08.037;NULL;
490;NULL;272;2015-11-17 17:24:08.053;2015-11-17 17:24:08.053;NULL;Redes Virtuales (VPN)
491;NULL;272;2015-11-17 17:24:08.053;2015-11-17 17:24:08.053;NULL;Televisión IP (IPTV)
492;29;272;2015-11-17 17:24:08.053;2015-11-17 17:24:08.053;NULL;
494;NULL;274;2015-11-17 17:25:50.290;2015-11-17 17:25:50.290;NULL;
495;18;275;2015-11-17 17:27:38.413;2015-11-17 17:27:38.413;NULL;Telefonía IP Prepago
498;NULL;277;2015-11-17 17:39:31.457;2015-11-17 17:39:31.457;NULL;
499;NULL;278;2015-11-17 17:46:19.620;2015-11-17 17:46:19.620;NULL;Televisión por cable
500;NULL;278;2015-11-17 17:46:19.620;2015-11-17 17:46:19.620;NULL;Acceso a Internet
501;7;278;2015-11-17 17:46:19.633;2015-11-17 17:46:19.633;NULL;
502;NULL;278;2015-11-17 17:46:19.633;2015-11-17 17:46:19.633;NULL;Redes Virtuales (VPN)
503;NULL;278;2015-11-17 17:46:19.633;2015-11-17 17:46:19.633;NULL;Televisión IP (IPTV)
504;3;278;2015-11-17 17:46:19.633;2015-11-17 17:46:19.633;NULL;
505;NULL;278;2015-11-17 17:46:19.633;2015-11-17 17:46:19.633;NULL;Canales punto a punto por medios inalámbricos
506;NULL;278;2015-11-17 17:46:19.650;2015-11-17 17:46:19.650;NULL;Canales punto a multipunto por medios inalámbricos
507;NULL;278;2015-11-17 17:46:19.650;2015-11-17 17:46:19.650;NULL;Carrier de Carriers a otros operadores
508;7;279;2015-11-17 17:48:37.023;2015-11-17 17:48:37.023;NULL;
509;NULL;280;2015-11-17 17:55:20.917;2015-11-17 17:55:20.917;NULL;
510;3;281;2015-11-17 18:56:52.067;2015-11-17 18:56:52.067;NULL;
511;35;281;2015-11-17 18:56:52.083;2015-11-17 18:56:52.083;NULL;Acceso a Internet
512;NULL;282;2015-11-17 19:08:00.417;2015-11-17 19:08:00.417;NULL;Acceso a internet
513;NULL;282;2015-11-17 19:08:00.417;2015-11-17 19:08:00.417;NULL;Canales punto a punto y punto a multipunto
514;NULL;282;2015-11-17 19:08:00.417;2015-11-17 19:08:00.417;NULL;Servicios VPN
515;29;282;2015-11-17 19:08:00.433;2015-11-17 19:08:00.433;NULL;
522;NULL;285;2015-11-17 19:31:43.227;2015-11-17 19:31:43.227;NULL;Telefonía IP pre y postpago
523;NULL;286;2015-11-17 19:36:26.190;2015-11-17 19:36:26.190;NULL;Acceso a internet
524;29;286;2015-11-17 19:36:26.190;2015-11-17 19:36:26.190;NULL;
525;NULL;286;2015-11-17 19:36:26.190;2015-11-17 19:36:26.190;NULL;Television por cable
526;NULL;287;2015-11-17 19:46:38.043;2015-11-17 19:46:38.043;NULL;Acceso a internet
527;NULL;287;2015-11-17 19:46:38.043;2015-11-17 19:46:38.043;NULL;Television por cable
528;NULL;288;2015-11-17 20:12:00.107;2015-11-17 20:12:00.107;NULL;Acceso a internet
529;33;288;2015-11-17 20:12:00.120;2015-11-17 20:12:00.120;NULL;
530;NULL;288;2015-11-17 20:12:00.120;2015-11-17 20:12:00.120;NULL;Redes privadas virtuales
531;3;289;2015-11-17 20:13:52.213;2015-11-17 20:13:52.213;NULL;
532;35;289;2015-11-17 20:13:52.213;2015-11-17 20:13:52.213;NULL;Canales punto a punto
533;35;289;2015-11-17 20:13:52.230;2015-11-17 20:13:52.230;NULL;Canales punto multipunto
534;35;289;2015-11-17 20:13:52.230;2015-11-17 20:13:52.230;NULL;Acceso a Internet
535;NULL;290;2015-11-17 20:15:13.857;2015-11-17 20:15:13.857;NULL;Transferencia de Datos bajo las modalidades de Acceso a Internet y Canales Punto a Punto por medio de enlaces inalámbricos de bandas de frecuencia de "uso libre".
536;NULL;291;2015-11-17 20:18:59.450;2015-11-17 20:18:59.450;NULL;
537;3;292;2015-11-17 20:37:47.013;2015-11-17 20:37:47.013;NULL;De extremo a extremo, por medio de enlaces punto a punto y multipunto
538;35;292;2015-11-17 20:37:47.013;2015-11-17 20:37:47.013;NULL;Acceso a Internet
539;NULL;292;2015-11-17 20:37:47.027;2015-11-17 20:37:47.027;NULL;
540;NULL;293;2015-11-17 20:40:27.857;2015-11-17 20:40:27.857;NULL;
541;NULL;294;2015-11-17 20:45:57.280;2015-11-17 20:45:57.280;NULL;Transferencia de Datos bajo las modalidades de Acceso a Internet y Canales Punto a Punto por medio de enlaces inalámbricos de bandas de frecuencia de "uso libre".
542;NULL;295;2015-11-17 20:47:53.000;2015-11-17 20:47:53.000;NULL;Acarreador de tráfico telefónico
545;18;297;2015-11-17 21:00:15.877;2015-11-17 21:00:15.877;NULL;Acceso a Internet
546;7;297;2015-11-17 21:00:15.877;2015-11-17 21:00:15.877;NULL;
547;29;297;2015-11-17 21:00:15.877;2015-11-17 21:00:15.877;NULL;
548;NULL;298;2015-11-17 21:01:43.970;2015-11-17 21:01:43.970;NULL;Acceso a internet
549;NULL;299;2015-11-17 21:16:30.000;2015-11-17 21:16:30.000;NULL;Acceso a internet
550;29;299;2015-11-17 21:16:30.000;2015-11-17 21:16:30.000;NULL;
551;NULL;299;2015-11-17 21:16:30.000;2015-11-17 21:16:30.000;NULL;Canales punto a punto
552;NULL;299;2015-11-17 21:16:30.000;2015-11-17 21:16:30.000;NULL;Voz sobre IP
554;3;301;2015-11-18 14:34:56.513;2015-11-18 14:34:56.513;NULL;
555;NULL;302;2015-11-18 14:37:39.653;2015-11-18 14:37:39.653;NULL;Acceso a Internet
556;7;302;2015-11-18 14:37:39.653;2015-11-18 14:37:39.653;NULL;
557;4;303;2015-11-18 14:45:00.437;2015-11-18 14:45:00.437;NULL;
562;3;305;2015-11-18 14:55:15.500;2015-11-18 14:55:15.500;NULL;
563;NULL;305;2015-11-18 14:55:15.517;2015-11-18 14:55:15.517;NULL;Video-conferencia
564;18;305;2015-11-18 14:55:15.520;2015-11-18 14:55:15.520;NULL;
565;NULL;305;2015-11-18 14:55:15.523;2015-11-18 14:55:15.523;NULL;Televisión sobre IP (IPTV)
566;3;306;2015-11-18 15:02:11.657;2015-11-18 15:02:11.657;NULL;
567;35;306;2015-11-18 15:02:11.673;2015-11-18 15:02:11.673;NULL;Acceso a Internet
568;18;307;2015-11-18 15:12:44.527;2015-11-18 15:12:44.527;NULL;Acceso a Internet
569;7;307;2015-11-18 15:12:44.527;2015-11-18 15:12:44.527;NULL;
570;18;308;2015-11-18 15:53:09.667;2015-11-18 15:53:09.667;NULL;Televisión por cable
571;NULL;309;2015-11-18 16:17:33.337;2015-11-18 16:17:33.337;NULL;Canales punto a punto y punto a multipunto.
572;NULL;309;2015-11-18 16:17:33.337;2015-11-18 16:17:33.337;NULL;Acceso a Internet
573;33;309;2015-11-18 16:17:33.337;2015-11-18 16:17:33.337;NULL;
574;NULL;309;2015-11-18 16:17:33.337;2015-11-18 16:17:33.337;NULL;VPN (redes privadas virtuales)
575;NULL;310;2015-11-18 16:31:05.783;2015-11-18 16:31:05.783;NULL;
576;NULL;311;2015-11-18 16:31:05.860;2015-11-18 16:31:05.860;NULL;
577;NULL;312;2015-11-18 16:31:07.127;2015-11-18 16:31:07.127;NULL;
578;NULL;313;2015-11-18 16:33:33.383;2015-11-18 16:33:33.383;NULL;
579;NULL;314;2015-11-18 16:34:48.233;2015-11-18 16:34:48.233;NULL;
580;31;314;2015-11-18 16:34:48.233;2015-11-18 16:34:48.233;NULL;
581;NULL;315;2015-11-18 16:36:40.233;2015-11-18 16:36:40.233;NULL;
582;18;315;2015-11-18 16:36:40.247;2015-11-18 16:36:40.247;NULL;
583;NULL;316;2015-11-18 16:37:36.507;2015-11-18 16:37:36.507;NULL;
584;18;316;2015-11-18 16:37:36.507;2015-11-18 16:37:36.507;NULL;
585;NULL;317;2015-11-18 17:07:38.483;2015-11-18 17:07:38.483;NULL;
586;7;318;2015-11-18 17:19:49.550;2015-11-18 17:19:49.550;NULL;
